'DATE TIME','OPEN','HIGH','LOW','CLOSE'
'2012.07.11 2:30:00',79.35,79.38,79.33,79.34
'2012.07.11 3:00:00',79.34,79.34,79.3,79.3
'2012.07.11 3:30:00',79.3,79.32,79.29,79.31
'2012.07.11 4:00:00',79.32,79.35,79.3,79.33
'2012.07.11 4:30:00',79.33,79.33,79.28,79.3
'2012.07.11 5:00:00',79.29,79.36,79.29,79.34
'2012.07.11 5:30:00',79.34,79.36,79.32,79.34
'2012.07.11 6:00:00',79.34,79.37,79.26,79.32
'2012.07.11 6:30:00',79.31,79.36,79.31,79.32
'2012.07.11 7:00:00',79.32,79.36,79.3,79.33
'2012.07.11 7:30:00',79.33,79.34,79.29,79.31
'2012.07.11 8:00:00',79.31,79.33,79.24,79.25
'2012.07.11 8:30:00',79.26,79.27,79.22,79.27
'2012.07.11 9:00:00',79.27,79.28,79.25,79.26
'2012.07.11 9:30:00',79.26,79.29,79.24,79.28
'2012.07.11 10:00:00',79.28,79.3,79.25,79.26
'2012.07.11 10:30:00',79.26,79.29,79.23,79.25
'2012.07.11 11:00:00',79.25,79.25,79.21,79.24
'2012.07.11 11:30:00',79.24,79.25,79.2,79.21
'2012.07.11 12:00:00',79.21,79.24,79.13,79.15
'2012.07.11 12:30:00',79.15,79.21,79.15,79.17
'2012.07.11 13:00:00',79.17,79.22,79.15,79.21
'2012.07.11 13:30:00',79.21,79.46,79.2,79.43
'2012.07.11 14:00:00',79.43,79.58,79.41,79.52
'2012.07.11 14:30:00',79.52,79.67,79.47,79.66
'2012.07.11 15:00:00',79.66,79.75,79.6,79.7
'2012.07.11 15:30:00',79.7,79.72,79.66,79.7
'2012.07.11 16:00:00',79.69,79.7,79.64,79.66
'2012.07.11 16:30:00',79.66,79.67,79.62,79.62
'2012.07.11 17:00:00',79.62,79.63,79.55,79.62
'2012.07.11 17:30:00',79.61,79.65,79.58,79.63
'2012.07.11 18:00:00',79.63,79.71,79.6,79.69
'2012.07.11 18:30:00',79.69,79.69,79.62,79.64
'2012.07.11 19:00:00',79.64,79.68,79.64,79.67
'2012.07.11 19:30:00',79.67,79.68,79.65,79.67
'2012.07.11 20:00:00',79.67,79.71,79.64,79.7
'2012.07.11 20:30:00',79.7,79.78,79.7,79.75
'2012.07.11 21:00:00',79.75,79.76,79.72,79.73
'2012.07.11 21:30:00',79.73,79.74,79.71,79.72
'2012.07.11 22:00:00',79.72,79.72,79.64,79.68
'2012.07.11 22:30:00',79.69,79.69,79.62,79.64
'2012.07.11 23:00:00',79.64,79.67,79.61,79.63
'2012.07.11 23:30:00',79.63,79.64,79.6,79.6
'2012.07.12 0:00:00',79.6,79.61,79.56,79.58
'2012.07.12 0:30:00',79.58,79.63,79.58,79.61
'2012.07.12 1:00:00',79.61,79.66,79.61,79.65
'2012.07.12 1:30:00',79.65,79.66,79.61,79.62
'2012.07.12 2:00:00',79.62,79.62,79.52,79.53
'2012.07.12 2:30:00',79.53,79.54,79.47,79.53
'2012.07.12 3:00:00',79.54,79.54,79.49,79.53
'2012.07.12 3:30:00',79.53,79.92,79.51,79.73
'2012.07.12 4:00:00',79.73,79.76,79.43,79.45
'2012.07.12 4:30:00',79.45,79.52,79.45,79.49
'2012.07.12 5:00:00',79.49,79.52,79.47,79.52
'2012.07.12 5:30:00',79.52,79.53,79.45,79.48
'2012.07.12 6:00:00',79.48,79.49,79.4,79.45
'2012.07.12 6:30:00',79.45,79.46,79.3,79.34
'2012.07.12 7:00:00',79.33,79.34,79.29,79.31
'2012.07.12 7:30:00',79.31,79.32,79.23,79.25
'2012.07.12 8:00:00',79.25,79.37,79.24,79.32
'2012.07.12 8:30:00',79.32,79.34,79.29,79.3
'2012.07.12 9:00:00',79.3,79.34,79.3,79.31
'2012.07.12 9:30:00',79.31,79.33,79.29,79.31
'2012.07.12 10:00:00',79.31,79.35,79.3,79.33
'2012.07.12 10:30:00',79.33,79.33,79.25,79.31
'2012.07.12 11:00:00',79.31,79.32,79.28,79.3
'2012.07.12 11:30:00',79.31,79.35,79.29,79.35
'2012.07.12 12:00:00',79.35,79.35,79.26,79.31
'2012.07.12 12:30:00',79.31,79.37,79.18,79.24
